Date,Adj Close,Volume,Return,,,,,,,,,,,,,,,,,,,,,
2015-01-02,308.519989,2783200,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,302.190002,2774200,-0.020517267,,,,,,,,,,,,,,,,,,,,,
2015-01-06,295.290009,3519000,-0.022833293,,,,,,,,,,,,,,,,,,,,,
2015-01-07,298.420013,2640300,0.010599763,,,,,,,,,,,,,,,,,,,,,
2015-01-08,300.459991,3088400,0.006835929,,,,,,,,,,,,,,,,,,,,,
2015-01-09,296.929993,2592400,-0.011748646,,,,,,,,,,,,,,,,,,,,,
2015-01-12,291.410004,3421400,-0.018590204,,,,,,,,,,,,,,,,,,,,,
2015-01-13,294.73999,4136400,0.011427151,,,,,,,,,,,,,,,,,,,,,
2015-01-14,293.269989,5538700,-0.00498745,,,,,,,,,,,,,,,,,,,,,
2015-01-15,286.950012,4419200,-0.02155003,,,,,,,,,,,,,,,,,,,,,
2015-01-16,290.73999,3478200,0.013207799,,,,,,,,,,,,,,,,,,,,,
2015-01-20,289.440002,3075100,-0.004471308,,,,,,,,,,,,,,,,,,,,,
2015-01-21,297.25,10065100,0.026983133,,,,,,,,,,,,,,,,,,,,,
2015-01-22,310.320007,5362600,0.043969746,,,,,,,,,,,,,,,,,,,,,
2015-01-23,312.390015,4496400,0.006670559,,,,,,,,,,,,,,,,,,,,,
2015-01-26,309.660004,3169700,-0.008739111,,,,,,,,,,,,,,,,,,,,,
2015-01-27,306.75,2920300,-0.009397416,,,,,,,,,,,,,,,,,,,,,
2015-01-28,303.910004,3063800,-0.009258341,,,,,,,,,,,,,,,,,,,,,
2015-01-29,311.779999,8656600,0.025895808,,,,,,,,,,,,,,,,,,,,,
2015-01-30,354.529999,23856100,0.137115916,,,,,,,,,,,,,,,,,,,,,
2015-02-02,364.470001,10231900,0.028037125,,,,,,,,,,,,,,,,,,,,,
2015-02-03,363.549988,6212600,-0.002524249,,,,,,,,,,,,,,,,,,,,,
2015-02-04,364.75,4169900,0.003300817,,,,,,,,,,,,,,,,,,,,,
2015-02-05,373.890015,7247600,0.0250583,,,,,,,,,,,,,,,,,,,,,
2015-02-06,374.279999,3892400,0.001043045,,,,,,,,,,,,,,,,,,,,,
2015-02-09,370.559998,2724600,-0.009939086,,,,,,,,,,,,,,,,,,,,,
2015-02-10,373,2287200,0.006584634,,,,,,,,,,,,,,,,,,,,,
2015-02-11,375.140015,2786500,0.005737306,,,,,,,,,,,,,,,,,,,,,
2015-02-12,377.170013,2791100,0.005411308,,,,,,,,,,,,,,,,,,,,,
2015-02-13,381.829987,3475100,0.012355102,,,,,,,,,,,,,,,,,,,,,
2015-02-17,375.429993,3673200,-0.016761371,,,,,,,,,,,,,,,,,,,,,
2015-02-18,373.369995,2650600,-0.005487036,,,,,,,,,,,,,,,,,,,,,
2015-02-19,379,2953800,0.01507889,,,,,,,,,,,,,,,,,,,,,
2015-02-20,383.660004,3258000,0.012295525,,,,,,,,,,,,,,,,,,,,,
2015-02-23,380.140015,2177000,-0.009174761,,,,,,,,,,,,,,,,,,,,,
2015-02-24,378.589996,1920800,-0.004077495,,,,,,,,,,,,,,,,,,,,,
2015-02-25,385.369995,3174500,0.017908553,,,,,,,,,,,,,,,,,,,,,
2015-02-26,384.799988,2687100,-0.001479116,,,,,,,,,,,,,,,,,,,,,
2015-02-27,380.160004,2532300,-0.012058171,,,,,,,,,,,,,,,,,,,,,
2015-03-02,385.660004,2139200,0.014467592,,,,,,,,,,,,,,,,,,,,,
2015-03-03,384.609985,1946500,-0.002722655,,,,,,,,,,,,,,,,,,,,,
2015-03-04,382.720001,2259100,-0.004914027,,,,,,,,,,,,,,,,,,,,,
2015-03-05,387.829987,2693500,0.013351761,,,,,,,,,,,,,,,,,,,,,
2015-03-06,380.089996,2627000,-0.019957175,,,,,,,,,,,,,,,,,,,,,
2015-03-09,378.559998,2311400,-0.004025357,,,,,,,,,,,,,,,,,,,,,
2015-03-10,369.51001,3121000,-0.023906351,,,,,,,,,,,,,,,,,,,,,
2015-03-11,366.369995,2495100,-0.008497781,,,,,,,,,,,,,,,,,,,,,
2015-03-12,374.23999,2810000,0.021481003,,,,,,,,,,,,,,,,,,,,,
2015-03-13,370.579987,2611700,-0.009779829,,,,,,,,,,,,,,,,,,,,,
2015-03-16,373.350006,2354100,0.007474821,,,,,,,,,,,,,,,,,,,,,
2015-03-17,371.920013,2037000,-0.003830167,,,,,,,,,,,,,,,,,,,,,
2015-03-18,375.140015,2654100,0.008657781,,,,,,,,,,,,,,,,,,,,,
2015-03-19,373.23999,1915700,-0.005064842,,,,,,,,,,,,,,,,,,,,,
2015-03-20,378.48999,3763600,0.014066017,,,,,,,,,,,,,,,,,,,,,
2015-03-23,375.109985,2239300,-0.008930236,,,,,,,,,,,,,,,,,,,,,
2015-03-24,374.089996,2228200,-0.002719173,,,,,,,,,,,,,,,,,,,,,
2015-03-25,370.959991,3429500,-0.008366984,,,,,,,,,,,,,,,,,,,,,
2015-03-26,367.350006,2930000,-0.009731467,,,,,,,,,,,,,,,,,,,,,
2015-03-27,370.559998,2609800,0.008738239,,,,,,,,,,,,,,,,,,,,,
2015-03-30,374.589996,1820900,0.010875426,,,,,,,,,,,,,,,,,,,,,
2015-03-31,372.100006,2506100,-0.006647241,,,,,,,,,,,,,,,,,,,,,
2015-04-01,370.26001,2458100,-0.004944896,,,,,,,,,,,,,,,,,,,,,
2015-04-02,372.25,1875300,0.005374574,,,,,,,,,,,,,,,,,,,,,
2015-04-06,377.040009,3050700,0.012867721,,,,,,,,,,,,,,,,,,,,,
2015-04-07,374.410004,1954900,-0.0069754,,,,,,,,,,,,,,,,,,,,,
2015-04-08,381.200012,2636400,0.018135221,,,,,,,,,,,,,,,,,,,,,
2015-04-09,383.540009,2392300,0.006138502,,,,,,,,,,,,,,,,,,,,,
2015-04-10,382.649994,2573500,-0.002320527,,,,,,,,,,,,,,,,,,,,,
2015-04-13,382.359985,1894500,-0.000757896,,,,,,,,,,,,,,,,,,,,,
2015-04-14,385.109985,2583600,0.007192175,,,,,,,,,,,,,,,,,,,,,
2015-04-15,383.450012,1933200,-0.004310387,,,,,,,,,,,,,,,,,,,,,
2015-04-16,386.040009,2080400,0.006754458,,,,,,,,,,,,,,,,,,,,,
2015-04-17,375.559998,3839700,-0.027147474,,,,,,,,,,,,,,,,,,,,,
2015-04-20,389.51001,5016100,0.037144563,,,,,,,,,,,,,,,,,,,,,
2015-04-21,391.179993,4643500,0.004287394,,,,,,,,,,,,,,,,,,,,,
2015-04-22,389.799988,3474700,-0.003527801,,,,,,,,,,,,,,,,,,,,,
2015-04-23,389.98999,7980000,0.000487435,,,,,,,,,,,,,,,,,,,,,
2015-04-24,445.100006,17176900,0.14131136,,,,,,,,,,,,,,,,,,,,,
2015-04-27,438.559998,5430900,-0.014693345,,,,,,,,,,,,,,,,,,,,,
2015-04-28,429.309998,4140500,-0.021091755,,,,,,,,,,,,,,,,,,,,,
2015-04-29,429.369995,3621700,0.000139752,,,,,,,,,,,,,,,,,,,,,
2015-04-30,421.779999,3647900,-0.017677053,,,,,,,,,,,,,,,,,,,,,
2015-05-01,422.869995,3565800,0.002584276,,,,,,,,,,,,,,,,,,,,,
2015-05-04,423.040009,2270400,0.000402048,,,,,,,,,,,,,,,,,,,,,
2015-05-05,421.190002,2856400,-0.004373125,,,,,,,,,,,,,,,,,,,,,
2015-05-06,419.100006,2552500,-0.004962122,,,,,,,,,,,,,,,,,,,,,
2015-05-07,426.880005,2766100,0.018563586,,,,,,,,,,,,,,,,,,,,,
2015-05-08,433.690002,2908800,0.015952954,,,,,,,,,,,,,,,,,,,,,
2015-05-11,432.850006,2393700,-0.001936858,,,,,,,,,,,,,,,,,,,,,
2015-05-12,431.019989,1947800,-0.004227832,,,,,,,,,,,,,,,,,,,,,
2015-05-13,426.869995,1996300,-0.00962831,,,,,,,,,,,,,,,,,,,,,
2015-05-14,432.279999,1888500,0.012673657,,,,,,,,,,,,,,,,,,,,,
2015-05-15,426,4240300,-0.014527619,,,,,,,,,,,,,,,,,,,,,
2015-05-18,425.23999,2390200,-0.001784061,,,,,,,,,,,,,,,,,,,,,
2015-05-19,421.709991,2464200,-0.008301192,,,,,,,,,,,,,,,,,,,,,
2015-05-20,423.859985,2196200,0.005098276,,,,,,,,,,,,,,,,,,,,,
2015-05-21,431.630005,4121400,0.018331572,,,,,,,,,,,,,,,,,,,,,
2015-05-22,427.630005,2020600,-0.009267196,,,,,,,,,,,,,,,,,,,,,
2015-05-26,425.470001,2244200,-0.005051105,,,,,,,,,,,,,,,,,,,,,
2015-05-27,431.420013,2231100,0.013984563,,,,,,,,,,,,,,,,,,,,,
2015-05-28,426.570007,1912400,-0.011241959,,,,,,,,,,,,,,,,,,,,,
2015-05-29,429.230011,3016100,0.006235797,,,,,,,,,,,,,,,,,,,,,
2015-06-01,430.920013,2253300,0.003937288,,,,,,,,,,,,,,,,,,,,,
2015-06-02,430.98999,1668900,0.00016239,,,,,,,,,,,,,,,,,,,,,
2015-06-03,436.589996,2727900,0.012993355,,,,,,,,,,,,,,,,,,,,,
2015-06-04,430.779999,2510800,-0.013307673,,,,,,,,,,,,,,,,,,,,,
2015-06-05,426.950012,1907900,-0.008890819,,,,,,,,,,,,,,,,,,,,,
2015-06-08,423.5,2172500,-0.008080599,,,,,,,,,,,,,,,,,,,,,
2015-06-09,425.480011,2288700,0.004675351,,,,,,,,,,,,,,,,,,,,,
2015-06-10,430.769989,2172300,0.012432965,,,,,,,,,,,,,,,,,,,,,
2015-06-11,432.970001,2922500,0.005107162,,,,,,,,,,,,,,,,,,,,,
2015-06-12,429.920013,2054400,-0.00704434,,,,,,,,,,,,,,,,,,,,,
2015-06-15,423.670013,2051000,-0.014537588,,,,,,,,,,,,,,,,,,,,,
2015-06-16,427.26001,2296400,0.008473569,,,,,,,,,,,,,,,,,,,,,
2015-06-17,427.809998,2185900,0.001287244,,,,,,,,,,,,,,,,,,,,,
2015-06-18,439.390015,3378400,0.027068131,,,,,,,,,,,,,,,,,,,,,
