Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,21860.039063,22671.919922,19916.339844,20121.990234,20121.990234,41887011100
2010-02-01,19987.669922,20780.500000,19423.050781,20608.699219,20608.699219,27348510700
2010-03-01,20853.080078,21450.980469,20575.779297,21239.349609,21239.349609,37845285900
2010-04-01,21390.890625,22388.769531,20763.339844,21108.589844,21108.589844,33790538400
2010-05-01,20799.789063,21011.949219,18971.519531,19765.189453,19765.189453,34352466100
2010-06-01,19600.570313,20957.089844,19211.669922,20128.990234,20128.990234,27951182900
2010-07-01,20128.990234,21199.550781,19777.830078,21029.810547,21029.810547,26999816400
2010-08-01,21221.429688,21805.939453,20372.289063,20536.490234,20536.490234,26611366300
2010-09-01,20570.519531,22439.189453,20529.869141,22358.169922,22358.169922,31119089000
2010-10-01,22542.359375,23866.869141,22504.050781,23096.320313,23096.320313,42846828500
2010-11-01,23366.820313,24988.570313,22782.980469,23007.990234,23007.990234,41076370400
2010-12-01,22973.800781,23612.250000,22392.669922,23035.449219,23035.449219,27124790900
2011-01-01,23135.640625,24434.400391,23057.519531,23447.339844,23447.339844,29144694200
2011-02-01,23451.619141,23981.740234,22446.669922,23338.019531,23338.019531,29113771100
2011-03-01,23317.960938,23934.070313,22123.259766,23527.519531,23527.519531,41521313700
2011-04-01,23664.480469,24468.640625,23468.199219,23720.810547,23720.810547,27687155400
2011-05-01,23720.810547,23924.480469,22519.660156,23684.130859,23684.130859,24935123900
2011-06-01,23686.769531,23706.000000,21508.769531,22398.099609,22398.099609,34974818600
2011-07-01,22813.250000,22835.029297,21611.160156,22440.250000,22440.250000,38694993300
2011-08-01,22739.550781,22808.330078,18868.109375,20534.849609,20534.849609,56729214400
2011-09-01,20790.220703,20975.300781,16999.539063,17592.410156,17592.410156,45434530100
2011-10-01,17179.199219,20272.380859,16170.349609,19864.869141,19864.869141,44230263000
2011-11-01,19461.080078,20173.140625,17613.199219,17989.349609,17989.349609,43161858200
2011-12-01,19033.960938,19242.800781,17821.519531,18434.390625,18434.390625,29663289300
2012-01-01,18770.640625,20590.800781,18302.839844,20390.490234,20390.490234,32840360700
2012-02-01,20394.669922,21760.339844,20269.509766,21680.080078,21680.080078,34569578200
2012-03-01,21578.189453,21641.140625,20374.029297,20555.580078,20555.580078,36002725500
2012-04-01,20662.970703,21105.570313,20035.679688,21094.210938,21094.210938,27752732600
2012-05-01,21245.480469,21385.300781,18378.140625,18629.519531,18629.519531,44756588000
2012-06-01,18498.910156,19578.820313,18056.400391,19441.460938,19441.460938,32618072800
2012-07-01,19441.460938,19869.109375,18710.589844,19796.810547,19796.810547,29677791200
2012-08-01,19646.960938,20300.029297,19450.769531,19482.570313,19482.570313,28688847200
2012-09-01,19414.619141,20895.609375,19076.789063,20840.380859,20840.380859,33308504500
2012-10-01,20840.380859,21847.699219,20767.359375,21641.820313,21641.820313,31925165400
2012-11-01,21573.929688,22149.699219,21098.410156,22030.390625,22030.390625,29884962700
2012-12-01,22070.439453,22718.830078,21687.880859,22656.919922,22656.919922,29324098700
2013-01-01,22860.250000,23916.160156,22860.250000,23729.529297,23729.529297,36737630400
