date,close
2000/1/3,17369.63086
2000/1/4,17072.82031
2000/1/5,15846.71973
2000/1/6,15153.23047
2000/1/7,15405.62988
2000/1/10,15848.15039
2000/1/11,15862.09961
2000/1/12,15714.2002
2000/1/13,15633.95996
2000/1/14,15542.23047
2000/1/17,15574.55957
2000/1/18,15789.2002
2000/1/19,15275.33984
2000/1/20,15215.30957
2000/1/21,15108.41016
2000/1/24,15167.54981
2000/1/25,15103.04004
2000/1/26,15427.71973
2000/1/27,15917.80957
2000/1/28,16185.94043
2000/1/31,15532.33984
2000/2/1,15653.86035
2000/2/2,15789.82031
2000/2/3,15968.12012
2000/2/4,null
2000/2/7,null
2000/2/8,16228.73047
2000/2/9,16819.46094
2000/2/10,16845.16992
2000/2/11,17380.30078
2000/2/14,17188.96094
2000/2/15,16688.16016
2000/2/16,17043.39063
2000/2/17,16981.23047
2000/2/18,16599.16016
2000/2/21,16322.37012
2000/2/22,16255.16992
2000/2/23,16376.79004
2000/2/24,17058.66016
2000/2/25,17200.98047
2000/2/28,16984.43945
2000/2/29,17169.43945
2000/3/1,16843.58984
2000/3/2,16936.81055
2000/3/3,17285.24023
2000/3/6,17758.75977
2000/3/7,17865.35938
2000/3/8,17951.42969
2000/3/9,17637.0293
2000/3/10,17831.85938
2000/3/13,17096.67969
2000/3/14,16929.16016
2000/3/15,16747.19922
2000/3/16,16359
2000/3/17,17082.99023
2000/3/20,17234.46094
2000/3/21,17199.98047
2000/3/22,17547.03906
2000/3/23,17715.58008
2000/3/24,17784.57031
2000/3/27,18292.85938
2000/3/28,18301.68945
2000/3/29,18096.36914
2000/3/30,17467.15039
2000/3/31,17406.53906
2000/4/3,16892.92969
2000/4/4,null
2000/4/5,16318.44043
2000/4/6,16491.39063
2000/4/7,16941.67969
2000/4/10,16850.74023
2000/4/11,16487.66016
2000/4/12,16577.08984
2000/4/13,16352.55957
2000/4/14,16142.75977
2000/4/17,14762.37012
2000/4/18,15278.32031
2000/4/19,15427.2002
2000/4/20,15367.13965
2000/4/21,null
2000/4/24,null
2000/4/25,15380.00977
2000/4/26,15227.38965
2000/4/27,15192.87012
2000/4/28,15519.29981
2000/5/1,null
2000/5/2,15817.75977
2000/5/3,15577.46973
2000/5/4,15314.07031
2000/5/5,15268.63965
2000/5/8,14901
2000/5/9,14776.90039
2000/5/10,14492.91992
2000/5/11,null
2000/5/12,15111.94043
2000/5/15,14881.29981
2000/5/16,15160.29004
2000/5/17,14827.80957
2000/5/18,14322.59961
2000/5/19,14478.25977
2000/5/22,14140.73047
2000/5/23,14257.17969
2000/5/24,13933.98047
2000/5/25,13921.05957
2000/5/26,13722.7002
2000/5/29,13975.07031
2000/5/30,13990.90039
2000/5/31,14713.86035
2000/6/1,14941.19043
2000/6/2,15284.09961
2000/6/5,15861.67969
2000/6/6,null
2000/6/7,15900.05957
2000/6/8,15876.92969
2000/6/9,16120.25977
2000/6/12,16055.04981
2000/6/13,15692.94043
2000/6/14,15857.07031
2000/6/15,16080.33984
2000/6/16,16434.38086
2000/6/19,16267.46973
2000/6/20,16086.74023
2000/6/21,16238.13965
2000/6/22,15952.36035
2000/6/23,15738.08008
2000/6/26,15978.91016
2000/6/27,16155.76953
2000/6/28,16438.41992
2000/6/29,16286.79981
2000/6/30,16155.78027
2000/7/3,16124.96973
2000/7/4,16235.75977
2000/7/5,16474.26953
2000/7/6,16489.58984
2000/7/7,16829.96094
2000/7/10,17238.66992
2000/7/11,17359.66016
2000/7/12,17552.25977
2000/7/13,17449.5
2000/7/14,17586.16016
2000/7/17,17834.7793
2000/7/18,17440.83008
2000/7/19,17710.07031
2000/7/20,17758.50977
2000/7/21,17920.85938
2000/7/24,17659.68945
2000/7/25,17375.33984
2000/7/26,17620.23047
2000/7/27,17450.08984
2000/7/28,17183.92969
2000/7/31,16840.98047
2000/8/1,16897.44922
2000/8/2,17277.39063
2000/8/3,17274.2793
2000/8/4,17425.69922
2000/8/7,17727.25
2000/8/8,17211.83984
2000/8/9,17181.99023
2000/8/10,17333.21094
2000/8/11,17214.41992
2000/8/14,16998.06055
2000/8/15,17463.5293
2000/8/16,17734.15039
2000/8/17,17622.00977
2000/8/18,17440
2000/8/21,17501.48047
2000/8/22,17668.2793
2000/8/23,17427.40039
2000/8/24,17439.69922
2000/8/25,17236.74023
2000/8/28,17019.75977
2000/8/29,17240.10938
2000/8/30,17095.88086
2000/8/31,17097.50977
2000/9/1,17333.60938
2000/9/4,17726.16992
2000/9/5,17595.2207
2000/9/6,17605.23047
2000/9/7,17431.94922
2000/9/8,17275.44922
2000/9/11,17007.98047
2000/9/12,16629.7793
2000/9/13,null
2000/9/14,16395.42969
2000/9/15,16249.53027
2000/9/18,15560.16016
2000/9/19,15677.2002
