Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,21860.039063,22548.029297,21689.220703,22269.449219,22269.449219,6567383700
2010-01-08,22282.750000,22671.919922,21688.169922,21716.949219,21716.949219,11328295000
2010-01-15,21715.089844,21788.849609,20828.240234,20862.669922,20862.669922,11103842400
2010-01-22,20527.199219,20738.990234,19923.550781,20356.369141,20356.369141,11103232600
2010-01-29,20026.519531,20780.500000,19845.929688,20341.640625,20341.640625,8577745100
2010-02-05,19706.240234,20310.789063,19423.050781,20290.689453,20290.689453,8681818000
2010-02-12,20240.669922,20684.220703,20212.550781,20422.150391,20422.150391,3025938500
2010-02-19,20261.490234,20711.750000,19874.550781,20399.570313,20399.570313,7354787100
2010-02-26,20657.830078,21056.929688,20567.580078,20575.779297,20575.779297,9959714500
2010-03-05,20820.970703,21333.060547,20654.939453,21228.199219,21228.199219,9008984000
2010-03-12,21249.800781,21440.810547,20964.310547,21330.669922,21330.669922,6289566800
2010-03-19,21359.550781,21389.000000,20659.279297,20778.550781,20778.550781,6911979100
2010-03-26,20679.650391,21547.660156,20679.650391,21537.000000,21537.000000,9226935300
2010-04-02,21537.000000,21949.250000,21537.000000,21867.039063,21867.039063,4581007200
2010-04-09,22014.730469,22388.769531,21963.779297,22157.820313,22157.820313,8339162100
2010-04-16,22059.300781,22111.990234,21206.740234,21454.939453,21454.939453,9243699900
2010-04-23,21385.160156,21617.849609,20763.339844,20778.919922,20778.919922,7179989200
2010-04-30,20934.070313,21121.519531,19888.490234,20133.410156,20133.410156,9529195600
2010-05-07,19699.500000,20526.580078,19699.500000,20422.460938,20422.460938,8532988300
2010-05-14,20258.449219,20352.800781,19276.460938,19545.830078,19545.830078,7324158300
2010-05-21,19470.279297,19757.439453,18971.519531,19431.369141,19431.369141,8208802700
2010-05-28,19816.390625,19910.060547,19372.130859,19786.710938,19786.710938,6745960600
2010-06-04,19765.250000,19841.679688,19211.669922,19632.699219,19632.699219,5724901900
2010-06-11,19995.640625,20201.810547,19834.230469,20138.400391,20138.400391,4132257100
2010-06-18,20199.220703,20957.089844,20138.349609,20733.490234,20733.490234,8613233200
2010-06-25,20615.919922,20862.380859,19971.269531,20128.990234,20128.990234,5879416900
2010-07-02,20059.560547,20236.179688,19777.830078,20050.560547,20050.560547,6052225400
2010-07-09,20142.779297,20722.220703,20116.519531,20255.619141,20255.619141,7812469300
2010-07-16,20293.609375,20592.460938,20007.880859,20589.699219,20589.699219,5924229500
2010-07-23,20847.849609,21199.550781,20728.410156,21093.820313,21093.820313,6263726100
2010-07-30,21008.460938,21621.820313,20945.630859,21551.720703,21551.720703,6197104200
2010-08-06,21575.949219,21805.939453,20926.480469,21105.710938,21105.710938,6737923300
2010-08-13,21095.169922,21297.619141,20881.949219,21072.460938,21072.460938,5574990700
2010-08-20,20929.720703,21035.009766,20512.779297,20612.060547,20612.060547,5449861600
2010-08-27,20563.089844,20938.289063,20372.289063,20868.919922,20868.919922,5985830600
2010-09-03,20918.810547,21435.580078,20860.890625,21167.269531,21167.269531,7147458700
2010-09-10,21310.720703,21819.949219,21092.810547,21691.449219,21691.449219,7262598000
2010-09-17,21744.529297,22229.179688,21713.669922,22047.710938,22047.710938,5692310500
2010-09-24,21972.880859,22439.189453,21956.759766,22358.169922,22358.169922,8629543800
2010-10-01,22542.359375,23023.130859,22504.050781,22884.320313,22884.320313,9854108200
2010-10-08,22861.150391,23866.869141,22861.150391,23852.169922,23852.169922,11940998500
2010-10-15,23733.789063,23862.539063,23307.490234,23649.480469,23649.480469,11827920400
2010-10-22,23647.320313,23781.880859,23136.970703,23210.859375,23210.859375,7318754600
2010-10-29,23177.689453,24550.080078,22880.679688,24535.630859,24535.630859,10252175600
2010-11-05,24905.429688,24988.570313,24421.029297,24700.300781,24700.300781,10625772200
2010-11-12,24404.910156,24608.660156,23192.490234,23637.390625,23637.390625,9575445900
2010-11-19,23625.310547,23686.419922,22871.109375,23054.679688,23054.679688,8471086900
2010-11-26,23033.000000,23575.380859,22782.980469,23448.779297,23448.779297,7406238600
2010-12-03,23555.759766,23612.250000,22998.339844,23171.800781,23171.800781,7309742200
2010-12-10,23091.519531,23490.179688,22598.960938,22668.779297,22668.779297,6688223100
2010-12-17,22660.880859,23160.439453,22392.669922,22902.970703,22902.970703,5795150800
2010-12-24,22932.500000,23111.269531,22529.259766,22999.339844,22999.339844,3339263200
2010-12-31,23079.839844,23861.220703,23012.500000,23786.300781,23786.300781,5466190000
2011-01-07,23744.029297,24378.810547,23481.800781,24238.980469,24238.980469,7462360000
2011-01-14,24273.619141,24434.400391,23963.859375,24003.699219,24003.699219,6915172700
2011-01-21,23913.189453,24130.160156,23662.179688,23779.619141,23779.619141,6479390500
